Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Djenepo,21,6,EVE,SOU,1,MID,5.5,0.1%,2.7,233.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,35.4,7.2,46.0,8.7,2.7,0.0,0.5,2.5,3.5,11907.0,12783.0,0.0,0.0,4,1.0,0.16,0.16,0.0,1.16,1.02,0.06,0.06,0.0,0.06,0.06,0.45,0.39,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,0.0
Redmond,21,6,EVE,SOU,1,MID,6.4,0.2%,1.0,201.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.4,13.2,35.0,6.2,1.0,0.0,0.2,0.8,1.7,13114.0,57351.0,-1.0,1.0,3,0.0,0.16,0.16,0.0,0.29,0.15,0.07,0.07,0.0,0.07,0.07,0.13,0.07,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,3.0
Stephens,21,6,EVE,SOU,1,DEF,4.8,0.3%,0.0,180.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,28.8,1.9,17.0,4.8,0.0,0.0,0.0,0.2,0.5,2116.0,19940.0,-2.0,2.0,2,0.0,0.09,0.09,0.0,0.28,0.28,0.04,0.04,0.0,0.04,0.04,0.14,0.14,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,0.0
Smallbone,21,6,EVE,SOU,1,MID,4.5,0.4%,0.0,111.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.2,4.1,0.0,1.1,0.0,0.0,0.0,0.7,1.5,23018.0,27768.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,0.0
Walcott,21,6,EVE,SOU,1,MID,5.8,0.2%,1.5,102.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,26.8,54.1,9.0,9.0,1.5,0.0,0.3,1.0,3.0,5378.0,14154.0,-2.0,2.0,2,0.0,0.06,0.06,0.22,0.32,0.08,0.05,0.05,0.2,0.25,0.25,0.29,0.07,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,0.0
Tella,21,6,EVE,SOU,1,MID,4.5,0.3%,0.7,48.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.8,3.0,0.7,0.7,0.0,0.2,0.7,1.0,23254.0,15293.0,0.0,0.0,3,0.0,0.02,0.02,0.0,0.21,0.19,0.05,0.05,0.0,0.05,0.05,0.45,0.4,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,0.0
Long,21,6,EVE,SOU,1,FWD,5.3,0.8%,0.7,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.6,6.0,0.7,0.7,0.0,0.1,0.8,1.0,21951.0,74427.0,-2.0,2.0,4,0.0,0.04,0.04,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.23,0.0,0.0,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,0.0
Obafemi,21,6,EVE,SOU,1,FWD,4.8,1.3%,0.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.1,0.0,0.1,0.3,0.0,0.1,0.2,1.0,41808.0,128268.0,-2.0,2.0,1,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.5,0.5,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,0.0
Diallo,21,6,EVE,SOU,1,MID,4.5,0.0%,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.4,10.2,0.0,1.3,1.0,0.0,0.2,0.2,1.0,808.0,221.0,0.0,0.0,1,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,3.41,3.41,3.41,3.41,0.0,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,1.0
Fabinho,21,6,SHU,LIV,1,MID,5.5,1.5%,1.7,392.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,75.0,32.6,5.0,11.4,1.7,0.0,0.3,2.2,2.4,58105.0,75721.0,0.0,0.0,5,0.0,0.02,0.02,0.1,1.79,1.69,0.01,0.01,0.02,0.03,0.03,0.41,0.39,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Alisson,21,6,SHU,LIV,1,GKP,5.9,7.4%,0.7,270.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,66.0,75.0,0.0,0.0,7.5,0.7,1.0,0.1,2.9,5.7,218024.0,685024.0,-1.0,1.0,3,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.19,0.19,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Adrián,21,6,SHU,LIV,1,GKP,4.5,0.7%,0.7,180.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,28.0,42.2,0.0,0.0,4.2,0.7,0.0,0.2,0.4,1.0,35981.0,14691.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.18,0.18,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,0.0
Robertson,21,6,SHU,LIV,1,DEF,7.1,18.6%,5.0,450.0,1.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,121.0,134.4,136.0,92.0,36.3,5.0,1.0,0.7,3.5,5.0,729792.0,389226.0,1.0,-1.0,5,1.0,0.84,0.84,1.25,3.0,1.48,0.17,0.17,0.25,0.42,0.42,0.6,0.3,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Salah,21,6,SHU,LIV,1,MID,12.3,47.6%,8.3,450.0,6.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,179.0,266.2,200.9,396.0,86.3,8.3,1.0,0.7,3.9,9.6,1440073.0,462388.0,3.0,-3.0,5,4.0,3.34,1.82,1.84,5.0,2.06,0.67,0.36,0.37,1.04,0.73,1.0,0.41,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Alexander-Arnold,21,6,SHU,LIV,1,DEF,7.5,36.1%,2.3,448.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,99.0,83.0,143.8,48.0,27.4,2.3,0.0,0.3,2.0,3.0,324194.0,1355800.0,0.0,0.0,5,0.0,0.35,0.35,1.19,3.15,2.93,0.07,0.07,0.24,0.31,0.31,0.63,0.59,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Firmino,21,6,SHU,LIV,1,FWD,9.3,2.6%,3.0,409.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,70.0,118.0,178.0,36.6,3.0,0.0,0.3,1.6,3.0,66291.0,198355.0,-2.0,2.0,5,0.0,0.93,0.93,1.04,3.42,1.89,0.2,0.2,0.22,0.42,0.42,0.74,0.41,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,9.0
van Dijk,21,6,SHU,LIV,1,DEF,6.4,15.2%,0.3,370.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,73.0,82.4,4.8,66.0,15.3,0.3,0.0,0.0,2.3,3.0,378006.0,1341660.0,-1.0,1.0,5,1.0,0.55,0.55,0.0,1.41,1.29,0.13,0.13,0.0,0.13,0.13,0.34,0.31,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,0.0
Wijnaldum,21,6,SHU,LIV,1,MID,5.4,1.4%,1.7,361.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.6,49.1,73.0,16.4,1.7,0.0,0.3,1.9,2.0,34469.0,84796.0,-1.0,1.0,5,0.0,1.18,1.18,0.22,2.01,0.65,0.29,0.29,0.06,0.35,0.35,0.5,0.16,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Mané,21,6,SHU,LIV,1,MID,12.0,8.7%,4.3,349.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,102.0,182.0,107.3,265.0,55.6,4.3,1.0,0.4,2.6,7.8,555592.0,882649.0,0.0,0.0,4,4.0,3.56,3.56,0.75,4.62,0.82,0.91,0.91,0.19,1.11,1.11,1.18,0.21,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,8.0
Gomez,21,6,SHU,LIV,1,DEF,5.4,2.7%,1.0,319.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,57.2,14.7,0.0,7.2,1.0,0.0,0.2,0.7,1.0,66127.0,215097.0,-1.0,1.0,4,0.0,0.0,0.0,0.07,1.01,0.94,0.0,0.0,0.02,0.02,0.02,0.28,0.26,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Keita,21,6,SHU,LIV,1,MID,5.3,0.4%,1.0,243.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,17.6,25.8,92.0,13.6,1.0,0.0,0.2,1.3,1.8,13932.0,65017.0,-2.0,2.0,4,0.0,0.3,0.3,0.06,2.05,1.69,0.11,0.11,0.02,0.13,0.13,0.73,0.6,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,0.0
Henderson,21,6,SHU,LIV,1,MID,5.4,1.2%,0.7,200.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0,45.1,38.0,11.3,0.7,0.0,0.1,0.9,1.7,19478.0,132223.0,-1.0,1.0,3,0.0,0.46,0.46,0.13,1.51,1.17,0.2,0.2,0.06,0.26,0.26,0.66,0.51,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,2.0
Jota,21,6,SHU,LIV,1,MID,6.3,1.7%,3.0,112.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,43.2,32.0,103.0,17.8,3.0,0.0,0.5,1.4,3.0,100870.0,225395.0,-2.0,2.0,3,1.0,0.68,0.68,0.22,1.42,0.52,0.57,0.57,0.19,0.75,0.75,1.19,0.43,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,9.0
Matip,21,6,SHU,LIV,1,DEF,5.4,0.3%,0.3,91.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.6,0.8,17.0,3.0,0.3,0.0,0.1,0.4,1.0,11249.0,26199.0,-1.0,1.0,2,0.0,0.09,0.09,0.0,0.93,0.93,0.09,0.09,0.0,0.09,0.09,0.92,0.92,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,0.0
Milner,21,6,SHU,LIV,1,MID,5.3,0.1%,0.7,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.8,22.2,6.0,4.4,0.7,0.0,0.1,0.6,1.0,1905.0,9071.0,-2.0,2.0,3,0.0,0.0,0.0,0.02,0.48,0.48,0.0,0.0,0.03,0.03,0.03,0.79,0.79,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,1.0
Jones,21,6,SHU,LIV,1,MID,4.4,0.5%,0.3,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.2,14.6,2.0,2.5,0.3,0.0,0.1,0.5,1.0,22424.0,27691.0,-1.0,1.0,2,0.0,0.0,0.0,0.03,0.25,0.22,0.0,0.0,0.06,0.06,0.06,0.47,0.42,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,0.0
Minamino,21,6,SHU,LIV,1,MID,6.1,0.2%,0.7,50.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.2,1.3,30.0,3.8,0.7,0.0,0.1,0.5,1.0,2679.0,27228.0,-4.0,4.0,3,0.0,0.07,0.07,0.0,0.09,0.02,0.14,0.14,0.0,0.14,0.14,0.18,0.04,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,1.0
Thiago,21,6,SHU,LIV,1,MID,6.0,1.9%,0.7,135.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.2,44.6,12.0,7.7,0.7,0.0,0.1,0.5,1.5,291224.0,226530.0,0.0,0.0,2,0.0,0.08,0.08,0.2,1.0,0.89,0.05,0.05,0.13,0.19,0.19,0.67,0.6,3,5,3,1,1.0,13.0,13,10,12.3,10.77,6.79,6.03,4.75,8.92,19.33,74.0,15.0,10.51,19,0.4,1.4,0.2,1.028,0.7240000000000001,1.182,1.03,-0.306,2.728,2.256,5.4,5.4,1.2,0.0
Richarlison,21,6,SOU,EVE,0,FWD,7.9,5.3%,2.7,382.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,84.0,107.6,52.2,193.0,35.1,2.7,0.0,0.3,2.8,4.4,382664.0,723518.0,-1.0,1.0,5,0.0,2.67,1.91,1.08,3.49,0.88,0.63,0.45,0.25,0.88,0.7,0.82,0.21,1,5,4,1,0.0,14.0,7,13,11.4,10.64,5.24,5.24,5.4,10.77,13.72,26.0,39.0,10.37,12,1.6,1.8,1.4,1.324,1.1720000000000002,1.234,1.234,-0.062,1.746,2.418,7.0,5.0,1.454,0.0
Allan,21,6,SOU,EVE,0,MID,5.4,1.1%,1.0,360.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,58.4,21.3,8.0,8.7,1.0,0.0,0.2,1.5,2.0,68409.0,117176.0,-1.0,1.0,4,0.0,0.03,0.03,0.02,2.0,1.97,0.01,0.01,0.0,0.01,0.01,0.5,0.49,1,5,4,1,0.0,14.0,7,13,11.4,10.64,5.24,5.24,5.4,10.77,13.72,26.0,39.0,10.37,12,1.6,1.8,1.4,1.324,1.1720000000000002,1.234,1.234,-0.062,1.746,2.418,7.0,5.0,1.454,2.0
